title,subtitle,image,cta_text,cta_link,cta2_text,cta2_link
Welcome to|Broadstreet RFC,Proudly representing rugby excellence across the Midlands.,assets/photos/hompage/homePage_heroSection_bg_1.jpg,View Fixtures,pages/fixtures.html,Matchday Info,pages/matchday.html
Experience the|Passion of Rugby,"Join us every matchday for thrilling rugby action and an unforgettable atmosphere.",assets/photos/hompage/homePage_heroSection_bg_2.jpg,Become a Member,pages/membership.html,About Us,pages/about.html
Build Your Future|With Us,"From youth to senior teams, we offer opportunities for players of all ages and skill levels.",assets/photos/hompage/homePage_heroSection_bg_3.jpg,Our Teams,pages/teams.html,Get In Touch,pages/contact.html
